Country,CountryCode,Confirmed,Deaths,Recovered,Active,Date
Brunei Darussalam,BN,1,0,0,1,2020-03-09
Brunei Darussalam,BN,1,0,0,1,2020-03-10
Brunei Darussalam,BN,11,0,0,11,2020-03-11
Brunei Darussalam,BN,11,0,0,11,2020-03-12
Brunei Darussalam,BN,37,0,0,37,2020-03-13
Brunei Darussalam,BN,40,0,0,40,2020-03-14
Brunei Darussalam,BN,50,0,0,50,2020-03-15
Brunei Darussalam,BN,54,0,0,54,2020-03-16
Brunei Darussalam,BN,56,0,0,56,2020-03-17
Brunei Darussalam,BN,68,0,0,68,2020-03-18
Brunei Darussalam,BN,75,0,0,75,2020-03-19
Brunei Darussalam,BN,78,0,1,77,2020-03-20
Brunei Darussalam,BN,83,0,2,81,2020-03-21
Brunei Darussalam,BN,88,0,2,86,2020-03-22
Brunei Darussalam,BN,91,0,2,89,2020-03-23
Brunei Darussalam,BN,104,0,2,102,2020-03-24
Brunei Darussalam,BN,109,0,2,107,2020-03-25
Brunei Darussalam,BN,114,0,5,109,2020-03-26
Brunei Darussalam,BN,115,0,11,104,2020-03-27
Brunei Darussalam,BN,120,1,25,94,2020-03-28
Brunei Darussalam,BN,126,1,34,91,2020-03-29
Brunei Darussalam,BN,127,1,38,88,2020-03-30
Brunei Darussalam,BN,129,1,45,83,2020-03-31
Brunei Darussalam,BN,131,1,52,78,2020-04-01
Brunei Darussalam,BN,133,1,56,76,2020-04-02
Brunei Darussalam,BN,134,1,65,68,2020-04-03
Brunei Darussalam,BN,135,1,66,68,2020-04-04
Brunei Darussalam,BN,135,1,73,61,2020-04-05
Brunei Darussalam,BN,135,1,82,52,2020-04-06
Brunei Darussalam,BN,135,1,85,49,2020-04-07
Brunei Darussalam,BN,135,1,91,43,2020-04-08
Brunei Darussalam,BN,135,1,92,42,2020-04-09
Brunei Darussalam,BN,136,1,99,36,2020-04-10
Brunei Darussalam,BN,136,1,104,31,2020-04-11
Brunei Darussalam,BN,136,1,106,29,2020-04-12
Brunei Darussalam,BN,136,1,107,28,2020-04-13
Brunei Darussalam,BN,136,1,107,28,2020-04-14
Brunei Darussalam,BN,136,1,108,27,2020-04-15
Brunei Darussalam,BN,136,1,108,27,2020-04-16
Brunei Darussalam,BN,136,1,112,23,2020-04-17
Brunei Darussalam,BN,137,1,113,23,2020-04-18
Brunei Darussalam,BN,138,1,115,22,2020-04-19
Brunei Darussalam,BN,138,1,116,21,2020-04-20
Brunei Darussalam,BN,138,1,116,21,2020-04-21
Brunei Darussalam,BN,138,1,117,20,2020-04-22
Brunei Darussalam,BN,138,1,119,18,2020-04-23
Brunei Darussalam,BN,138,1,120,17,2020-04-24
Brunei Darussalam,BN,138,1,121,16,2020-04-25
Brunei Darussalam,BN,138,1,123,14,2020-04-26
Brunei Darussalam,BN,138,1,124,13,2020-04-27
Brunei Darussalam,BN,138,1,124,13,2020-04-28
Brunei Darussalam,BN,138,1,124,13,2020-04-29
Brunei Darussalam,BN,138,1,124,13,2020-04-30
Brunei Darussalam,BN,138,1,124,13,2020-05-01
Brunei Darussalam,BN,138,1,126,11,2020-05-02
Brunei Darussalam,BN,138,1,128,9,2020-05-03
Brunei Darussalam,BN,138,1,130,7,2020-05-04
Brunei Darussalam,BN,138,1,131,6,2020-05-05
Brunei Darussalam,BN,139,1,131,7,2020-05-06
Brunei Darussalam,BN,141,1,131,9,2020-05-07
Brunei Darussalam,BN,141,1,132,8,2020-05-08
Brunei Darussalam,BN,141,1,132,8,2020-05-09
Brunei Darussalam,BN,141,1,134,6,2020-05-10
Brunei Darussalam,BN,141,1,134,6,2020-05-11
Brunei Darussalam,BN,141,1,134,6,2020-05-12
Brunei Darussalam,BN,141,1,134,6,2020-05-13
